Age,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Injury,Days,Games missed,Position_DF,Position_FW,Position_MF,PreferredFoot_ Both,PreferredFoot_ Left,PreferredFoot_ Right
17,4,16,13,1277,14.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,21,4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1,128.0,22.0,1,0,0,0,0,1
18,17,12,11,992,11.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,20,33,7,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,1,77.0,19.0,1,0,0,0,0,1
19,9,26,26,2326,12.9,1,0,1,1,0,0,3,0,1.903444976076555,1.8722488038277512,1.2692822966507178,3.240478468899521,36,106,3,0.025,0.0,0.025,0.025,0.025,0.049047846889952146,0.0399186602870813,0.08896172248803826,0.04837320574162675,0.08830622009569375,0,0.0,0.0,1,0,0,0,0,1
19,10,26,26,2326,12.9,1,0,1,1,0,0,3,0,1.903444976076555,1.8722488038277512,1.2692822966507178,3.240478468899521,36,106,3,0.025,0.0,0.025,0.025,0.025,0.049047846889952146,0.0399186602870813,0.08896172248803826,0.04837320574162675,0.08830622009569375,0,0.0,0.0,1,0,0,0,0,1
20,2,36,36,3240,36.0,0,0,0,0,0,0,5,0,1.7,1.7,0.4,2.1,50,220,14,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,0,0.0,0.0,1,0,0,0,0,1
21,2,27,27,2415,26.8,2,1,3,2,0,0,4,0,0.9,0.9,1.2,2.1,13,99,2,0.07,0.04,0.11,0.07,0.11,0.03,0.04,0.08,0.03,0.08,1,107.0,16.0,1,0,0,0,0,1
22,1,13,13,1170,13.0,1,1,2,1,0,0,0,0,0.7,0.7,0.1,0.8,4,56,2,0.08,0.08,0.15,0.08,0.15,0.06,0.01,0.06,0.06,0.06,1,10.0,0.0,1,0,0,0,0,1
17,11,1,0,1,0.0,0,0,0,0,0,0,0,0,1.103444976076555,1.0722488038277511,1.2692822966507178,2.340478468899521,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
18,5,28,17,1610,8.95,0,0,0,0,0,0,2,0,1.303444976076555,1.272248803827751,1.3692822966507179,2.640478468899521,18,36,6,0.0,0.0,0.0,0.0,0.0,0.034047846889952146,0.044918660287081295,0.07896172248803825,0.03337320574162675,0.07830622009569374,0,0.0,0.0,1,0,0,0,0,1
18,13,28,17,1610,8.95,0,0,0,0,0,0,2,0,1.303444976076555,1.272248803827751,1.3692822966507179,2.640478468899521,18,36,6,0.0,0.0,0.0,0.0,0.0,0.034047846889952146,0.044918660287081295,0.07896172248803825,0.03337320574162675,0.07830622009569374,0,0.0,0.0,1,0,0,0,0,1
19,10,34,34,3003,33.4,2,0,2,2,0,0,4,0,1.2,1.2,0.4,1.6,27,127,11,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,1,13.0,7.0,1,0,0,0,0,1
20,16,38,38,3420,38.0,1,3,4,1,0,0,6,0,1.3,1.3,1.4,2.7,52,180,36,0.03,0.08,0.11,0.03,0.11,0.03,0.04,0.07,0.03,0.07,0,0.0,0.0,1,0,0,0,0,1
21,6,32,32,2879,32.0,2,1,3,1,1,2,2,0,3.2,1.6,1.8,3.4,74,169,37,0.06,0.03,0.09,0.03,0.06,0.1,0.06,0.16,0.05,0.11,0,0.0,0.0,1,0,0,0,0,1
22,7,36,35,3179,35.3,1,4,5,1,0,0,8,0,1.1,1.1,1.7,2.8,104,256,44,0.03,0.11,0.14,0.03,0.14,0.03,0.05,0.08,0.03,0.08,0,0.0,0.0,1,0,0,0,0,1
23,14,37,36,3273,36.4,4,1,5,4,0,1,5,0,2.4,1.6,3.2,4.8,88,240,37,0.11,0.03,0.14,0.11,0.14,0.07,0.09,0.15,0.04,0.13,0,0.0,0.0,1,0,0,0,0,1
24,1,13,13,1112,12.4,2,1,3,2,0,0,0,0,0.9,0.9,1.9,2.8,17,84,23,0.16,0.08,0.24,0.16,0.24,0.07,0.15,0.22,0.07,0.22,0,0.0,0.0,1,0,0,0,0,1
16,5,21,14,1312,7.3,5,7,12,5,0,0,0,0,4.881318681318681,4.480586080586081,2.6904761904761907,7.167399267399268,0,0,0,0.175,0.24,0.415,0.175,0.415,0.1686141636141636,0.09087301587301586,0.2595054945054945,0.15935286935286935,0.2503052503052503,0,0.0,0.0,0,1,0,0,1,0
16,2,21,14,1312,7.3,5,7,12,5,0,0,0,0,4.881318681318681,4.480586080586081,2.6904761904761907,7.167399267399268,0,0,0,0.175,0.24,0.415,0.175,0.415,0.1686141636141636,0.09087301587301586,0.2595054945054945,0.15935286935286935,0.2503052503052503,0,0.0,0.0,0,1,0,0,1,0
17,6,27,20,1816,10.1,1,5,6,1,0,0,6,0,5.881318681318681,5.480586080586081,5.9904761904761905,11.467399267399268,67,67,143,0.025,0.13,0.155,0.025,0.155,0.1936141636141636,0.17587301587301585,0.36950549450549447,0.18435286935286935,0.3603052503052503,2,24.0,4.0,0,1,0,0,1,0
17,8,27,20,1816,10.1,1,5,6,1,0,0,6,0,5.881318681318681,5.480586080586081,5.9904761904761905,11.467399267399268,67,67,143,0.025,0.13,0.155,0.025,0.155,0.1936141636141636,0.17587301587301585,0.36950549450549447,0.18435286935286935,0.3603052503052503,2,24.0,4.0,0,1,0,0,1,0
18,8,96,90,7659,28.399999999999995,15,9,24,15,0,0,3,0,20.700000000000003,20.700000000000003,13.200000000000001,33.900000000000006,255,303,807,0.18000000000000002,0.11,0.28,0.18000000000000002,0.28,0.24,0.16,0.4000000000000001,0.24,0.4000000000000001,3,10.0,2.0,0,1,0,0,1,0
19,5,38,36,2978,33.1,11,7,18,9,2,2,6,0,10.3,8.7,7.5,16.3,140,101,388,0.33,0.21,0.54,0.27,0.48,0.31,0.23,0.54,0.26,0.49,1,5.0,1.0,0,1,0,0,1,0
20,2,38,37,3181,35.3,14,11,25,12,2,3,6,0,11.2,9.1,8.5,17.6,179,109,520,0.4,0.31,0.71,0.34,0.65,0.32,0.24,0.56,0.26,0.5,0,0.0,0.0,0,1,0,0,1,0
21,1,12,12,1033,11.5,4,5,9,2,2,2,1,0,4.2,2.6,3.7,6.3,53,37,151,0.35,0.44,0.78,0.17,0.61,0.37,0.32,0.68,0.23,0.55,1,18.0,7.0,0,1,0,0,1,0
19,11,42,42,3748,41.6,1,6,7,1,0,0,8,0,1.103444976076555,1.0722488038277511,1.2692822966507178,2.340478468899521,0,0,0,0.02,0.14,0.17,0.02,0.17,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
20,3,20,19,1699,9.4,1,2,3,1,0,0,1,0,2.20688995215311,2.1444976076555022,2.5385645933014356,4.680956937799042,0,0,0,0.035,0.205,0.24,0.035,0.24,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
20,7,20,19,1699,9.4,1,2,3,1,0,0,1,0,2.20688995215311,2.1444976076555022,2.5385645933014356,4.680956937799042,0,0,0,0.035,0.205,0.24,0.035,0.24,0.0580956937799043,0.0798373205741626,0.1379234449760765,0.0567464114832535,0.1366124401913875,0,0.0,0.0,1,0,0,0,0,1
21,1,46,46,4140,46.0,1,2,3,1,0,0,6,0,2.2,2.2,0.8,3.0,47,162,6,0.02,0.04,0.07,0.02,0.07,0.05,0.02,0.06,0.05,0.06,0,0.0,0.0,1,0,0,0,0,1
22,16,36,36,3191,35.5,0,0,0,0,0,0,5,1,0.5,0.5,0.9,1.4,50,149,38,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,0,0.0,0.0,1,0,0,0,0,1
23,5,32,32,2880,32.0,0,0,0,0,0,0,3,0,1.0,1.0,1.3,2.3,38,124,4,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,0,0.0,0.0,1,0,0,0,0,1
24,2,38,36,3055,33.9,2,5,7,2,0,0,5,0,1.3,1.3,3.2,4.5,64,249,124,0.06,0.15,0.21,0.06,0.21,0.04,0.09,0.13,0.04,0.13,0,0.0,0.0,1,0,0,0,0,1
25,1,12,11,948,10.5,1,0,1,1,0,0,2,0,0.5,0.5,0.9,1.4,15,54,47,0.09,0.0,0.09,0.09,0.09,0.05,0.09,0.13,0.05,0.13,0,0.0,0.0,1,0,0,0,0,1
17,9,14,8,680,7.6,0,3,3,0,0,0,0,0,4.881318681318681,4.480586080586081,2.6904761904761907,7.167399267399268,0,0,0,0.0,0.4,0.4,0.0,0.4,0.3372283272283272,0.1817460317460317,0.519010989010989,0.3187057387057387,0.5006105006105006,1,6.0,2.0,0,1,0,0,1,0
